jd_no,job_description_text,jd_overview,jd_responsibilities,jd_requirements,jd_preferred
61975,"Title: Business AnalystLocation: Santa Clara, CA
 Minimum Degree Required: bachelor's degreePMP certification Duties: Engage with Product Managers to intimately understand and support documenting product requirements.Partner with Product Managers to improve the ability to estimate the size and scope of new product and service offerings being proposed.Assist in documenting cross-functional business requirements and develop user stories.Define and standardize processes and playbooks for Product Managers to improve time to define product options regarding key decision points in the process.Build consensus from cross-functional leads on business requirements.Capture the tactical and strategic product goals that provide traceability through the organization and are mapped to metrics Define the set of strategic, core and support processes that transcend functional and organizational boundaries; identify and describe external entities such as customers, suppliers, and external systems that interact with the business; and describe which people, resources, and controls are involved in the processes.  Partner with QA team to leverage automation for items such as regression testing to improve overall quality when projects are ready for UAT.Work with business partners and product managers to define test scenarios for UAT.Manage UAT execution, coordinate between business testers and IT development teams.Document test results and ensure timely execution and sign-off of test scenarios. Skills:5 years of relevant work experience as a Business Analyst or a Business Systems Analyst or a product owner Experience with process documentation, automation and digital transformations impacting Partners, Channels and distributors Experience modeling business processes using a variety of tools and techniques Demonstrated working knowledge of systems supporting high technology business processes for PartnersChannelsDistributors like Partner Onboarding, Deal Registration, Partner Programs etc., Expert in writing User Stories, converting business requirements to User Stories for development.The ability to act as liaison conveying information needs of the business to IT and data constraints to the business; applies equal conveyance regarding business strategy and IT strategy, business processes and workflow automation, business initiatives and IT initiatives, and benefit realization and service delivery Experience with Confluence and JIRA is highly desired Prior experience with Salesforce, Steelbrick CPQ, or Salesforce PRM desired Ability to recognize structural issues within an organization, functional inter-dependencies, and cross-silo redundancies Exceptional communication skills and the ability to communicate appropriately at all levels of the organization; this includes written and verbal communications as well as visualizations A broad, enterprise-wide view of the business and varying degrees of appreciation for strategy, processes, and enabling technologies .Team player able to work effectively at all levels of an organization with the ability to influence others to move toward consensus good working knowledge of Google Suite of Productivity Tools.
Thank youJassiejassie@rootshellinc.com","Business Analyst role based in Santa Clara, CA. Minimum requirement is a bachelor's degree and PMP certification. The position involves supporting product managers, documenting requirements, and improving estimation of new product and service offerings.","Engage with Product Managers to understand and document product requirements; partner with them to improve size and scope estimation; document cross‑functional business requirements and develop user stories; define and standardize processes and playbooks for product decision points; build consensus on business requirements across functional leads; capture tactical and strategic product goals with traceability to metrics; define strategic, core, and support processes across organizational boundaries; partner with QA to leverage automation for regression testing; work with business partners and product managers to define UAT test scenarios; manage UAT execution and coordinate between business testers and IT development teams; document test results and ensure timely sign‑off of test scenarios.","Bachelor's degree; PMP certification; 5+ years experience as Business Analyst, Business Systems Analyst, or Product Owner; experience with process documentation, automation, and digital transformation for partners, channels, and distributors; ability to model business processes using various tools; knowledge of systems supporting high‑technology business processes (e.g., partner onboarding, deal registration, partner programs); expert in writing User Stories and converting requirements for development; strong liaison skills between business and IT; exceptional written, verbal, and visualization communication abilities; ability to influence and build consensus across organization levels.","Experience with Confluence and JIRA; prior experience with Salesforce, Steelbrick CPQ, or Salesforce PRM; ability to recognize structural issues, functional inter‑dependencies, and cross‑silo redundancies; broad enterprise‑wide perspective on strategy, processes, and enabling technologies; team player with strong influencing skills; proficiency with Google Suite productivity tools."
4259,"RoleGaming Business AnalystResponsibilities Ability to understand vast amounts of data, identify and fix data issues Strong in database and Data Warehousing concepts Strong in TSQL Data analysis and presentation Data insight generation Strong reporting using Power BI, Power Apps & Excel Ability to succeed in a fast-paced, dynamic business environment Excellent technical & analytical skills with strong business acumen Strong communication skillsRequired SkillsProven experience as a Gaming Domain Expert, Game Analyst, or similar role within the gaming industry.Passion about gaming and a genuine interest in the gaming industry.Strong communication and presentation skills to effectively convey research findings to both technical and non-technical stakeholders.Strong analytical skills and ability to interpret complex data sets to derive meaningful insights.Should be able to do the qualitative and quantitative Research on gaming data such as competitor trends, product performance, consumers, games, and acquisitions .Excellent research abilities, with a proactive approach to stay updated on industry developments.Must have Deep understanding of Gaming Industry trends to perform ad-hoc analysis and research across a broad range of industries.Deep knowledge and understanding of gaming platforms, game genres, player behavior, and industry trends, patterns, and insights for game console, games, and subscriptions across all gaming companies.Analyze internal game meta data and KPIs and helping in curating the game, genre, publisher, developer etc.Identify key takeaways based on research, prepare presentations, communicate with business stakeholders.Should be able to build the forecasting model for any game or game franchise.Perform Market studies, consumer insights, competitive analysis, ad hoc reporting, and market trends across the gaming and game development industries.Basic Understanding of T-SQLFamiliarity with data analysis tools and techniques.Should be able to create the pivots in Excel from Relational models for slice and dice the data.Ability to understand vast amounts of data.Identify and fix data issues ,Data analysis and presentation ,Data insight generation.Ability to thrive in a fast-paced, dynamic business environment ,Excellent technical & analytical skills with strong business acumen ,Strong communication skills,SQL, ExcelGood to have skillsDigital : PythonExperience Required (in Yrs.)5+ YearsWork LocationBellevue, USA","Gaming Business Analyst role responsible for analyzing large volumes of gaming data, generating insights, and delivering reports using Power BI, Power Apps, and Excel. The position supports fast‑paced, dynamic business environments and works closely with technical and non‑technical stakeholders.","Understand vast amounts of data and identify/fix data issues; apply strong database and data warehousing concepts; perform T‑SQL data analysis, create pivots in Excel, and build relational models for slicing/dicing data; generate data insights and present findings; develop reports and dashboards in Power BI, Power Apps, and Excel; conduct qualitative and quantitative research on competitor trends, product performance, consumer behavior, and acquisitions; stay updated on gaming industry developments; analyze internal game metadata and KPIs to curate game, genre, publisher, and developer information; create forecasting models for games or franchises; perform market studies, consumer insights, competitive analysis, ad‑hoc reporting, and track market trends across gaming and game development industries; communicate key takeaways and present to business stakeholders.","5+ years experience; proven experience as a Gaming Domain Expert, Game Analyst, or similar role in the gaming industry; deep understanding of gaming industry trends, platforms, game genres, player behavior, and subscription models; strong analytical and quantitative research skills; ability to interpret complex data sets and derive meaningful insights; proficiency in T‑SQL (basic), SQL, Excel, Power BI, Power Apps; strong communication and presentation skills for both technical and non‑technical audiences; ability to thrive in a fast‑paced, dynamic environment; excellent technical and analytical abilities with strong business acumen.",Experience with Python for digital analytics; additional familiarity with advanced data analysis tools and techniques; any supplementary skills or certifications related to gaming data analysis or market research.
37729,"About Grainger
Grainger is a leading broad line distributor with operations primarily in North America, Japan and the United Kingdom. We achieve our purpose, We Keep the World Working, by serving more than 4.5 million customers with a wide range of products that keep their operations running and their people safe. Grainger also delivers services and solutions, such as technical support and inventory management, to save customers time and money.
We're looking for passionate people who can move our company forward. As one of the 100 Best Companies to Work For, we have a welcoming workplace where you can build a career for yourself while fulfilling our purpose to keep the world working. We embrace new ways of thinking and recognize everyone is an individual. Find your way with Grainger today.
Position Details
The Engineering Business Analyst has the responsibility of being very deep in our technology project and product work and being a key team member who knows all aspects. The Engineering Business Analyst is aligned to challenging projects and brings high value insights to our engineering teams. The Engineering Business Analyst may be involved in multiple technology projects at a time and will need excellent technical skills to ensure projects are being completed on time and at the highest of quality. You will work with Grainger's software engineers and portfolio managers, with you main responsibility being writing stories to be implemented by the engineering team. The Engineering Business Analyst must have a blend of business and technical skills as they must understand the business cases and requirements and then help to analyze and solicit requirements. Using the requirements, you must make technical documentation and write stories for the engineering team to use. Throughout the lifecycle of a project, you may develop data models and process flows, facilitate implementation through training, update cost estimates and timelines, and assist with testing and change management. You will partner with multiple team members in different functions and levels during a project, including software engineering, portfolio management, quality, finance, product, and operations. Your role will have a focus on process improvement as well as diagnostics at the end of a project to ensure effectiveness. You will report to the Manager, Engineering Business Analysis.
You Will
Develop technical solutions to business problems by defining and documenting requirements.Write user stories and ensure integrity of stories across projects.Write and validate acceptance criteria within area of expertise. Groom and maintain user stories.Define and perform functional configurations.Complete impact analysis for complex projects and products.Facilitate requirements gathering sessions to aid partners in exposing and explaining their needs.Conduct industry and internal research and apply best practices to Grainger.Ensure decision-making by retrieving and aggregating data from multiple sources and compiling it into a clear and applicable format; Have an opinion as to what a correct decision is and influence the engineering team.Create artifacts and provide data-driven recommendations that are clear to your business and technology partners.Help lead tactical planning discussions.Develop scaled, automated, user-friendly systems, reports and dashboards to support our needs.
You Have
BABS in Business, Computer Science, Finance or related field5+ years of relevant work experience in a business analyst, data analyst or statistical analyst roleDeep technical expertise regarding IT systems, workflows, and data structuresExperience summarizing multiple types and sources of information into actionExperience working with senior business and technical partners; including experience pushing back respectfully to get projects completedExperience operating in an Agile context
Rewards And Benefits
With benefits starting day one, Grainger is committed to your safety, health and wellbeing. Our programs provide choice and flexibility to meet our team members' individual needs. Check out some of the rewards available to you at Grainger
Medical, dental, vision, and life insurance plansPaid time off (PTO) and 6 company holidays per yearAutomatic 6% 401(k) company contribution each pay periodEmployee discounts, parental leave, 3:1 match on donations and tuition reimbursementA comprehensive set of emotional, financial, physical and social wellbeing programs
DEI Statement
We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender, gender identity or expression, or veteran status. We are proud to be an equal opportunity workplace.","Grainger is a leading broad‑line distributor operating primarily in North America, Japan, and the United Kingdom, serving over 4.5 million customers with products and services that keep operations running and people safe. As a 100 Best Companies to Work For, Grainger offers a welcoming workplace focused on purpose – “We Keep the World Working.” The Engineering Business Analyst role is a deep‑technical, business‑focused position that works on multiple technology projects, writes user stories, creates technical documentation, develops data models and process flows, and partners with software engineers, portfolio managers, quality, finance, product, and operations teams. The role reports to the Manager, Engineering Business Analysis.","Develop technical solutions by defining and documenting requirements; write and groom user stories and acceptance criteria; perform functional configurations and impact analysis for complex projects; facilitate requirements‑gathering sessions; conduct industry and internal research to apply best practices; retrieve and aggregate data for decision‑making and influence engineering decisions; create data‑driven artifacts, recommendations, and reports; lead tactical planning discussions; develop scalable, automated, user‑friendly systems, reports, and dashboards to support business needs.","Bachelor’s degree in Business, Computer Science, Finance, or related field; 5+ years relevant experience as a business analyst, data analyst, or statistical analyst; deep technical expertise with IT systems, workflows, and data structures; ability to summarize multiple information sources into actionable insights; experience working with senior business and technical partners and respectfully pushing back to ensure project completion; experience operating in an Agile environment.",
53691,"Skills - Cucumber BDD + Selenium UI Automation Experience
Excellent knowledge and experience in testing Financial Domain applications.  Hands-on experience in Test Plan, Test Case, and Test Scenario development. Experience in creating data requests based on test cases and data mining.",,,"Skills - Cucumber BDD + Selenium UI Automation Experience. Excellent knowledge and experience in testing Financial Domain applications. Hands-on experience in Test Plan, Test Case, and Test Scenario development. Experience in creating data requests based on test cases and data mining.",
23690,"TITLE: Senior Joint Interest AccountantABOUT THE COMPANY: W&T Offshore, Inc. (NYSE: WTI) is a thriving, independent oil and natural gas producer operating in the Gulf of Mexico, the second-largest producing basin in the U.S. for nearly four decades. ABOUT OUR EMPLOYEES: We have built a team of talented and collaborative individuals who are committed to cultivating a culture of integrity, honesty, trust, respect, and communication. Our mission is to attract and retain like-minded team members who will grow and prosper within our W&T community. W&T offers a competitive total rewards program designed to provide competitive pay, health and financial benefits, and work-life balance.WORKING LOCATION: Houston Office - 5718 WESTHEIMER RD 77057FULL-TIMEPART-TIME: Full-Time.SCHEDULE: M-T, 9 hours (in-office)F, 4 hours (remote)FLSA STATUS: Salaried - Non ExemptPOSITION SUMMARY: The Senior Joint Interest Accountants primary responsibilities include reverse and rebook entries, master data maintenance, monthly JIB processing, cost allocations, monthly journal entries, preparation of month, quarter and year-end account reconciliations, analytics, and the preparation of internal documents and analyses used in the closing and reporting processes. The Joint interest accountant is a leader with a strong working knowledge of joint interest and the ability to effectively communicate. PRIMARY RESPONSIBILITIES:Analyze and prepare monthly and quarterly close transactionsCalculate monthly capital and LOE accrualsAnalyze AFE expenditures for accuracy and completenessPerform analytics and account reconciliationsInvestigate joint interest billing discrepanciesEnsure transactional compliance with SOX, JOAs, and COPAS and guidelinesExecute monthly operated joint interest billing processAnalyze JIB variances and provide explanations with supporting documentationCreate payout calculations quarterlyAnalyze and prepare accounts receivable reconciliationKnowledge and execution of production handling agreementsReview and process non-operated joint interest billings via EnergyLinkInterpret purchase and sales agreementsAnalyze boat, helicopter, and fuel logs for proper billingEffectively communicate with internal departments and external partnersPerform and assume other duties and responsibilities at the direct of the Joint Interest Accounting Supervisor & Director, Expenditure AccountingContinuously work to enhance and improve processes while adhering to GAAP and internal control policies KNOWLEDGE, EDUCAITON & EXPERIENCE:Bachelors degree in Business Administration, Accounting, or related discipline5+ years of joint interest accounting experience at an exploration and production companyEnergyLink experienceP2 BOLO (including DAVfinancial statement interface, P2 AFEDocVueProcureItJoint Operating Agreement (JOA) knowledgeCOPAS Accounting Procedure knowledgeM&AESSENTIAL FUNCTIONS:
Successful job applicants will be able to perform these functions. Reasonable accommodations will be made to enable individuals with disabilities to perform the essential functions.Report to the Corporate Office daily and adhere to scheduleAbility to access, input, and retrieve information from a computer andor electronic deviceAbility to have face to face conversations with stakeholders, peers and executive managementAbility to sit or stand for long periods of time and move around work environment as neededComply with company policies and procedurePHYSICAL REQIREMENTS: Requires prolonged sitting, some bending and stoopingOccasional lifting up to 10 lbs.Manual dexterity sufficient to operate a computer keyboard and calculator This description is intended to describe the type of work being performed by a person assigned to this position. It is not an exhaustive list of all duties and responsibilities required by the employee. W&T Offshore is an Equal Opportunity Employer and is committed to the principles of equal employment opportunity for all employees and applicants for employment. W&T Offshore Inc. offers competitive total rewards including health & welfare benefits, 401k match, competitive pay and an annual bonus program (STI).W&T Offshore does not offer sponsorship of employment-based nonimmigrant visa petitions for this role.","W&T Offshore, Inc. (NYSE: WTI) is a thriving independent oil and natural gas producer operating in the Gulf of Mexico. The Senior Joint Interest Accountant position is based in the Houston office (5718 Westheimer Rd, 77057) and is a full‑time salaried (non‑exempt) role with a schedule of Monday‑Thursday 9‑hour in‑office days and Friday 4‑hour remote work. The role’s purpose is to manage reverse and rebook entries, master data maintenance, monthly JIB processing, cost allocations, journal entries, and the preparation of month, quarter and year‑end reconciliations, analytics, and internal documents used in closing and reporting processes. The accountant serves as a leader with strong knowledge of joint interest accounting and effective communication skills.","• Analyze and prepare monthly and quarterly close transactions. • Calculate monthly capital and LOE accruals. • Analyze AFE expenditures for accuracy and completeness. • Perform analytics and account reconciliations. • Investigate joint interest billing discrepancies. • Ensure compliance with SOX, JOAs, and COPAS guidelines. • Execute monthly operated joint interest billing process and analyze JIB variances with supporting documentation. • Create quarterly payout calculations. • Analyze and prepare accounts receivable reconciliation. • Review and process non‑operated joint interest billings via EnergyLink. • Interpret purchase and sales agreements and analyze boat, helicopter, and fuel logs for proper billing. • Communicate effectively with internal departments and external partners. • Perform other duties as directed by the Joint Interest Accounting Supervisor & Director, Expenditure Accounting. • Continuously improve processes while adhering to GAAP and internal controls.","• Bachelor’s degree in Business Administration, Accounting, or related discipline. • Minimum 5+ years of joint interest accounting experience at an exploration and production company. • Proficiency with EnergyLink, P2 BOLO (including DAV financial statement interface), P2 AFE, DocVue, ProcureIt, and Joint Operating Agreement (JOA) knowledge. • Understanding of COPAS Accounting Procedures and M&A processes. • Ability to access, input, and retrieve information from computer systems. • Strong communication skills for face‑to‑face conversations with stakeholders, peers, and executive management. • Ability to sit or stand for long periods, occasional lifting up to 10 lbs, and manual dexterity for keyboard and calculator use.",
17850,"Our client is a growing Medical Device company located in Parsippany, NJ.
This role requires to be ONSITE 5 DAYS a week in Parsippany NJ Office.
We are searching for a talented Senior Digital Electronic Engineer, digital circuit design and schematics experience using microprocessors.  Experience with tools like DX DesignerAltium etc. Microprocessor C programming experience XilinxAlteraLattice High speed FPGA and SOC and microprocessor like MSP430TM4CNXP IMX family High Speed design tools Layout or Layout guidance for PCB designer. Use of test tools for signal integrity, EMC etc.
Desired Experience: PCB: ( Printed Circuit Board) Design (preferably PAD) Schematic Capture and layout), Circuit Design
BIG PLUS: Work on Microprocessors development (any kind) doing Firmware using ""C"" programming
Job Description: Implementing embedded controllers using Microcontrollers for various image capture systems Developing firmware utilizing ""C"" programming (and Assembler) Experience with Capture schematics, PCB layout, routing and (PADs) tools Working closely with the manufacturing team to ensure through documentation and for production of products
Core Requirements: Bachelor's degree in Electrical or Electronics Engineering (or similar) 10 years digital electronic Circuit Design and development Will have some opportunity in implementing embedded controllers via Microcontrollers(ARM) as well FPGA (Xilinx) and high-end (32 bits) microcontrollers and IDE tools (CCS from Ti) Familiarity with Code Composer Studio Demonstrated experience in C Programming","Our client is a growing medical device company based in Parsippany, NJ. The position is for a Senior Digital Electronic Engineer and requires onsite work five days a week at the Parsippany office.","Implement embedded controllers using microcontrollers for various image capture systems. Develop firmware using C (and assembler). Create capture schematics, PCB layout, routing, and work with PAD tools. Collaborate closely with the manufacturing team to provide documentation and support product production.","Bachelor's degree in Electrical or Electronics Engineering (or similar). Minimum 10 years of digital electronic circuit design and development experience. Experience with microprocessor C programming, high‑speed FPGA and SoC (Xilinx, Altera, Lattice), and microcontrollers such as MSP430, TM4C, NXP, i.MX families. Proficiency with design tools (e.g., DX Designer, Altium, PAD), layout guidance for PCB designers, and test tools for signal integrity and EMC. Familiarity with Code Composer Studio and IDE tools (CCS from TI). Demonstrated C programming skills.","Desired experience includes PCB design, schematic capture, and layout (preferably using PAD). Big plus: experience developing firmware on any microprocessor using C programming."
84185,"Hi,
Hope you are doing great today. Please find the job description below. Let me know your job interest as soon as possible. I will highly appreciate it if you can refer somebody suitable for this position. 
Role: Data Engineer (Oracle and DataStage).Location: RemoteContract Position
Job Description:RoleResponsibilities:Skills: Oracle, Datastage, UNIX, PLSQL, SQL. Good to have: AWS, Matillion, Snowflake. Data engineering experience; expert level experience with SQL. Experience with the cloud (AWS, Azure andor Google Cloud Platform).  Experience in cloud-based data warehouses (Snowflake, Google BigQuery, Amazon Redshift, Azure Synapse Analytics).  Experience with cloud-based ETLELT tools (Matillion, Glue, Data Factory) and data modelling.  Experience with version control systems (Git, SVN).  Understanding of and willingness to embrace Agile Principles. 
Looking forward to your response . 
Shubhanshu Tripathishubhanshu.t@cblsolutions.com 469-947-7816 (Ext  209)Cerebral Technologies, Inc (D.B.A CBLSolutions) http:cblsolutions.com400 E Royal Lane, Ste 235, Irving, TX - 75039 Linkedin: https:www.linkedin.cominshubhanshu-tripathi-058228213 ","Cerebral Technologies, Inc. (doing business as CBLSolutions) is seeking a Remote Contract Data Engineer specializing in Oracle and DataStage. The role focuses on data engineering tasks and supports cloud‑based data solutions.","Design, develop, and maintain data pipelines and ETL processes using Oracle, DataStage, UNIX, PL/SQL, and SQL. Build and manage cloud‑based data warehouses and perform data modeling. Utilize version control systems (Git, SVN) and follow Agile principles. Collaborate on cloud platforms (AWS, Azure, Google Cloud) and support related data engineering activities.","Expert level experience with SQL and data engineering. Proficiency in Oracle, DataStage, UNIX, PL/SQL, and SQL. Hands‑on experience with cloud platforms (AWS, Azure, Google Cloud) and cloud data warehouses such as Snowflake, Google BigQuery, Amazon Redshift, Azure Synapse Analytics. Experience with cloud‑based ETL tools (Matillion, Glue, Data Factory). Familiarity with version control (Git, SVN) and Agile methodologies.","Knowledge of AWS, Matillion, and Snowflake is a plus."
95689,"Job Title: Software DeveloperLocation: Pittsburgh, PADuration: 6+ MonthsPosition Type  Only W2 Role (No Corp to Corp)Job Description:
Job Description: A developer (Playbook, Ansible) that understands how DevOps functions. Understand how to check their code into Git and how Jenkins monitors it, cognizant of the automation testing, putting the new test cases into the DevOps pipeline, if it fails being able to turn it around and watch it go through the testing again. Make sure the codeplaybooks are easy to understand and work with not only by the developer but by the team. Communication, collaboration, and trust are very important to the teams success.Responsibilities: Modern and efficient ways of doing tasks than how they are done manually Doing work in an automated waySkills: AnsibleAWXTower- the stronger with Ansible the better (hard requirement; MUST HAVE) Shell scripting Oracle Database queries understanding Reverse engineer programming languages Agile methodologies REST API gitcode reviewtesting CICD Python K8sOpenshiftAbout US Tech Solutions:US Tech Solutions is a global staff augmentation firm providing a wide range of talent on-demand and total workforce solutions. To know more about US Tech Solutions, please visit www.ustechsolutions.com.
Recruiter Details:
Name: Akash SinghEmail: akash.singh@ustechsolutionsinc.comInternal Reference Id: 23-25608","Software Developer (6+ months, W2) based in Pittsburgh, PA. US Tech Solutions is a global staff augmentation firm offering on-demand talent and workforce solutions. The role focuses on DevOps development using Playbooks and Ansible, ensuring code is version‑controlled in Git, monitored by Jenkins, and integrated into automated testing pipelines.","Develop and maintain Ansible playbooks and AWX Tower automation. Check code into Git, configure Jenkins pipelines, create and manage automated test cases, and troubleshoot failures. Ensure playbooks are clear and usable by the entire team. Promote communication, collaboration, and trust within the team. Perform tasks in an automated, efficient manner rather than manually.","Strong Ansible expertise (hard requirement). Experience with AWX Tower, Shell scripting, Oracle database queries, reverse engineering, and programming languages. Familiarity with Agile methodologies, REST APIs, Git, code review, testing, CI/CD pipelines, Python, Kubernetes, and OpenShift. Understanding of DevOps processes, automated testing, and pipeline troubleshooting.",
84756,"Job Description
Job Title: Salesforce Communication Cloud Business AnalystJob Type: Full-timeJob Location: Remote (Across USA)
Business Requirements:Experienced in Salesforce Industries Communications cloud.10+ years in SFDC, Certification a plus5+ years of experience in Telecom domain solutioning for Quote to CashArchitect software solutions using Vlocity, Omnistudio,Salesforce API framework, and 3rd party APIs.Solution design of custom solutions on the Vlocity platformStrong understanding of Salesforces capabilities and limitations and can clearly communicate those to customers.Own overall architecture design and solutioning. Lead Solution discussion &amp; present solutions options toCustomer IT team &amp; Business onGuide the onsite-offshore development team in translating the solution Architecture into an ImplementationShould have a thorough understanding of Salesforce.com project lifecycle.Experience reviewing and documenting code.Knowledge on Source Control &amp; deployments to higher environments","Job Title: Salesforce Communication Cloud Business Analyst. Full-time, remote (across USA).",Own overall architecture design and solutioning. Lead solution discussions and present solution options to customer IT team and business. Guide onsite‑offshore development team in translating solution architecture into an implementation. Review and document code. Understand Salesforce.com project lifecycle. Knowledge of source control and deployments to higher environments.,"Experienced in Salesforce Industries Communications Cloud. 10+ years experience with Salesforce.com (SFDC). 5+ years experience in telecom domain solutioning for Quote‑to‑Cash. Experience architecting software solutions using Vlocity, Omnistudio, Salesforce API framework, and third‑party APIs. Ability to design custom solutions on the Vlocity platform and clearly communicate Salesforce capabilities and limitations to customers.",Salesforce certification (a plus). Familiarity with source control and deployment processes. Experience with Vlocity platform and Omnistudio.
55197,"

Position Title: Senior Construction Accountant (Req #: 116)

Location: Fresno, CA

Date Posted: 08082023

Pay Range: $82,000 - $118,000

Position Description:

Job Summary
Responsible for maintaining financial records and ensures that financial transactions are properly recorded. Verifies the accuracy of entries to ledger accounts and reconciles subsidiary ledger accounts to the general ledger. Prepares complex balance sheets, profit and loss statements, and other financial reports. Analyzes current costs, revenues, financial commitments, and obligations incurred to predict future revenues and expenses.


Essential Duties and Responsibilities
Essential duties and other responsibilities include but are not limited to the following:Ensures accurate and timely reporting of all financial data in accordance with GAAP.Monitors revenue and expenses while coordinating collection, consolidation, and review of all financial data.Verifies the accuracy of all job costs as well as reconciling all subsidiary ledgers to the general ledger. This includes accounts payable and receivable, cash management, equipment and payroll.Prepares monthly and annual reports on expenditures and implementing corrective actions when necessary.Prepares monthly Work in Progress Schedules.Develops and maintains systems of control for accounting transactions.Creates, audits, and maintains effective chart of accounts and ensure costs are coded accurately.Performs monthly closing of all assigned accounts ensuring detailed and accurate reconciliations are documented and filed for all balance sheet and income statement accounts.Manages expense allocations from various departments and ensures accurate account coding.Obtains and maintains a thorough understanding of the financial reporting and general ledger structure.Manages all aspects of financial and accounting systems and processes including; compliance, AP, AR and revenue accounting, payroll, fixed assets and general ledger functions, and internal financial reporting.Supports audit requirements including internal, external, and compliance audits.Assists with special projects as requested by Controller and CFO.Assists the accounting department and outside vendors to ensure financial accuracy, cost control and reporting.Preserves confidentiality of sensitive information.


Position Requirements:

Qualifications 
To perform this job successfully, an individual must be able to perform each essential duty 
satisfactorily. The requirements listed below are representative of the knowledge, skill, and 
ability required.

Required Education and Experience
 A Bachelors degree with an emphasis in Accounting.
 7-10+ years of professional accounting experience within the construction industry.
 Ability to identify and resolve complex issues.
 Advanced knowledge of Microsoft Office (Word, Excel, and Outlook).
 Knowledge of Viewpoint Construction Software
 Excellent oral and written communication skills.

Certificates, Licenses, Registrations
 A valid California Drivers License

 Physical requirements Physical Demands
The physical demands described here are representative of those that must be met by an employee to 
successfully perform the essential functions of this job.
While performing the duties of this Job, the employee is regularly required to use hands to finger, 
handle, or feel; reach with hands and arms and talk and hear. The employee is occasionally required 
to stand and walk. The employee must occasionally lift andor move up to 10 pounds. Specific vision 
abilities required by this job include
close vision, distance vision, depth perception and ability to adjust focus.

Work Environment
The work environment characteristics described here are representative of those an employee 
encounters while performing the essential functions of this job.

Office Environment
The noise level in the work environment is usually moderate.
This job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities and activities may change at any time with or without notice. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions of the position.
","Senior Construction Accountant position in Fresno, CA (Pay Range: $82,000 - $118,000). The role is responsible for maintaining accurate financial records, preparing complex balance sheets and profit & loss statements, and analyzing costs and revenues to forecast future financial performance.","Ensures accurate and timely GAAP reporting; monitors revenue and expenses; verifies job cost accuracy and reconciles subsidiary ledgers; prepares monthly and annual expenditure reports; creates Work in Progress schedules; develops control systems for accounting transactions; audits and maintains chart of accounts; performs monthly close with detailed reconciliations; manages expense allocations and account coding; oversees financial and accounting systems including AP, AR, payroll, fixed assets, and general ledger; supports internal, external, and compliance audits; assists with special projects for Controller and CFO; collaborates with accounting department and vendors for cost control and reporting; maintains confidentiality of sensitive information.","Bachelor's degree in Accounting; 7‑10+ years of construction industry accounting experience; ability to resolve complex issues; advanced Microsoft Office skills (Word, Excel, Outlook); knowledge of Viewpoint Construction Software; excellent oral and written communication; valid California driver’s license. Physical ability to use hands, lift up to 10 lb, and meet vision requirements.",
